State,CD_Ratio_2021,CD_Ratio_2023,CD_Ratio_2025,Total_MSMEs_Lakh,Micro_Pct,Women_MSME_Pct,Trading_Pct,Bank_Branches_Per_Lakh,Internet_Penetration_Pct,UPI_Adoption_Index,GST_Compliance_Pct,GST_Density,Ecomm_Integration_Pct,Formal_Credit_Access_Pct,Credit_Gap_Pct,NPA_Proxy_Pct,GSDP_Per_Capita_Index,Literacy_Rate,Urban_Pct,Region,CD_Ratio_Change_5Y,MSME_Density,Credit_Invisible_MSMEs_Lakh,Digital_Footprint_Score,Banking_Access_Score,Formalization_Score,Business_Resilience_Score,Credit_Momentum_Score,Predicted_Credit_Access_Pct,Credit_Invisibility_Score,Actual_Credit_Gap,Model_vs_Actual_Gap,Risk_Tier,Alt_Credit_Invisible_Lakh
Chandigarh,99.4,77.9,75.0,1.2,98.5,28.5,48.2,43.2,82.4,88.4,91.4,2842.4,28.4,38.4,14.2,4.2,368.4,86.4,97.2,North,-24.40000000000001,0.3257328990228013,0.7392,70.65978980147915,76.52143029361524,93.89355789175357,94.27488849790862,12.319305138768982,38.371468,61.6,61.6,-0.0,Moderate,0.74
Delhi,96.6,92.6,88.1,18.5,97.8,31.2,52.6,28.4,79.8,92.6,92.8,3126.8,42.6,42.6,16.8,5.8,486.2,87.6,97.5,North,-8.5,3.805018510900864,10.619000000000002,100.0,76.30938819034209,100.0,100.0,0.0,42.456055,57.5,57.4,0.1,Moderate,10.64
Haryana,59.8,64.6,76.2,12.8,99.1,35.8,44.1,16.8,68.4,72.4,88.6,1642.4,22.4,26.4,22.4,6.4,248.6,76.6,35.1,North,16.400000000000006,5.148833467417539,9.4208,53.35733748540286,53.77524704858665,59.81981849686423,43.82198319852648,100.0,26.382923,73.6,73.6,-0.0,High,9.42
Himachal Pradesh,32.0,34.2,39.2,3.1,99.4,42.1,38.2,24.6,62.8,58.6,84.2,984.6,12.4,18.6,26.8,7.2,168.4,83.8,10.0,North,7.200000000000003,1.840855106888361,2.5234,28.36706889840405,33.67524517871044,60.940568797089895,20.98457793439502,81.37953060154052,18.619028,81.4,81.4,0.0,Critical,2.52
Jammu & Kashmir,48.9,56.6,60.6,2.9,99.5,38.4,41.8,18.2,58.6,52.4,78.4,824.8,10.8,16.8,28.4,8.4,128.6,68.8,27.4,North,11.700000000000005,2.2550544323483668,2.4128,21.46749708057611,41.31649652309228,26.67009340749354,28.384477688599944,41.98162003408447,16.785234,83.2,83.2,-0.0,Critical,2.41
Ladakh,35.4,41.6,44.2,0.3,99.6,41.2,39.4,12.4,42.4,38.4,68.4,486.4,6.4,10.4,38.4,12.4,98.4,62.8,8.6,North,8.800000000000004,0.3048780487804877,0.2688,5.410665628649291,17.099677090068255,1.6333494787178324,10.960015454005003,20.29868975649856,10.391923,89.6,89.6,-0.0,Critical,0.27
Punjab,57.4,56.2,61.3,10.4,99.2,33.6,46.8,18.9,66.2,68.4,86.4,1482.6,18.6,22.4,20.4,5.8,186.4,77.4,37.5,North,3.899999999999999,5.579399141630901,8.070400000000001,44.04437524328532,44.96470539269889,58.69526107520102,40.164090346086596,62.72135622402766,22.454376,77.5,77.6,-0.1,High,8.06
Rajasthan,81.9,86.6,94.2,22.6,99.4,40.8,43.6,12.6,56.8,62.4,82.6,1024.8,14.8,18.2,26.2,7.6,122.4,67.1,24.9,North,12.299999999999995,18.4640522875817,18.4868,33.602569093032294,57.08060796182967,28.824465177949264,26.61003648056547,53.274442765313324,18.186817,81.8,81.8,0.0,Critical,18.49
Arunachal Pradesh,30.2,28.2,32.2,0.5,99.7,44.2,52.4,8.4,38.6,32.4,64.8,348.4,6.2,8.6,42.4,14.8,98.6,66.2,22.9,Northeast,2.000000000000004,0.5070993914807302,0.457,2.043596730245234,0.0,0.0,22.915662946491125,45.2101522410353,8.634814,91.4,91.4,0.0,Critical,0.46
Assam,48.1,54.2,66.0,5.8,99.5,45.8,50.1,9.8,42.8,46.8,72.4,624.8,8.6,12.4,34.8,11.4,82.4,73.2,14.1,Northeast,17.9,7.03883495145631,5.0808,13.507201245620863,27.992253941838825,28.580776419296512,14.005546129322965,94.66409634103445,12.422285,87.6,87.6,-0.0,Critical,5.08
Manipur,60.1,76.2,79.7,0.9,99.6,48.9,48.6,7.6,36.4,34.6,66.4,428.6,7.4,10.2,38.2,12.6,62.4,76.9,32.5,Northeast,19.6,1.4423076923076923,0.8082,5.5663682366679765,30.792162540192265,26.478548644971056,24.62263513349764,11.940741507653911,10.226459,89.8,89.8,0.0,Critical,0.81
Meghalaya,37.9,38.0,40.7,0.8,99.7,46.3,51.2,8.2,38.2,36.8,68.8,468.4,7.8,10.8,40.4,13.2,78.6,75.5,20.1,Northeast,2.8000000000000043,1.0178117048346058,0.7136,7.804593226936554,5.390411112499848,25.681302644796347,17.96718395485354,20.547440622057366,10.748857,89.3,89.2,0.1,Critical,0.71
Mizoram,42.2,47.4,51.8,0.6,99.7,47.1,49.3,9.1,44.6,42.4,70.4,512.4,8.2,11.4,36.6,11.8,88.4,91.3,52.1,Northeast,9.599999999999994,0.6787330316742081,0.5316,10.762942779291556,17.17582701455285,59.19549186342505,44.296322905178215,36.65022319572802,11.392372,88.6,88.6,-0.0,Critical,0.53
Nagaland,57.3,50.1,53.5,0.4,99.7,43.6,47.8,7.4,34.8,30.4,62.8,324.8,5.8,8.2,44.8,15.4,72.8,79.6,28.9,Northeast,-3.799999999999997,0.5494505494505495,0.3672,0.0,11.389081002417399,24.840248025369874,22.36466180680908,9.209640501674357,8.216754,91.8,91.8,0.0,Critical,0.37
Tripura,42.6,42.6,45.4,1.2,99.6,46.2,49.6,8.9,42.6,44.8,72.6,586.4,8.4,12.6,36.4,11.2,64.8,87.2,26.2,Northeast,2.799999999999997,1.851851851851852,1.0488,12.602179836512256,11.627242192496084,54.57425768333172,19.451111631943377,27.152991216973533,12.582908,87.4,87.4,0.0,Critical,1.05
Andaman & Nicobar Islands,46.5,52.0,52.5,0.3,99.5,38.9,53.2,22.4,58.4,54.6,78.4,842.6,14.6,22.4,22.6,8.4,148.4,86.3,38.0,East,6.0,0.2021563342318059,0.2328,29.505644219540677,39.73253569955395,61.87703189366772,38.87330823075382,14.49905877012111,22.339916,77.7,77.6,0.1,High,0.23
Bihar,41.2,48.5,53.5,28.4,99.6,42.3,55.4,6.8,38.4,42.4,72.4,586.4,8.4,10.8,38.4,12.8,42.4,63.8,11.3,East,12.299999999999995,66.98113207547169,25.3328,11.833398209420011,10.96539553423807,8.197759012182644,0.0,36.769855930981066,10.847791,89.2,89.2,-0.0,Critical,25.33
Jharkhand,31.5,36.0,41.1,5.9,99.5,40.6,52.8,8.1,42.6,44.8,74.8,648.6,9.2,12.4,36.8,11.6,68.6,68.4,24.1,East,9.6,8.60058309037901,5.1684,14.908524717789021,6.831724631774776,19.98419382264774,16.662150450447058,59.5342032653341,12.40472,87.6,87.6,-0.0,Critical,5.17
Odisha,42.9,46.7,51.0,9.2,99.4,43.8,48.7,10.2,46.8,52.6,76.4,724.8,10.8,14.6,32.4,10.4,82.4,73.5,16.7,East,8.100000000000001,11.165048543689318,7.856799999999999,20.844686648501366,19.487509537757745,33.013685842424024,15.212950121287278,42.614358948320955,14.531134,85.5,85.4,0.1,Critical,7.87
Sikkim,36.3,43.4,43.8,0.4,99.6,41.5,46.4,18.6,52.4,48.4,76.8,748.4,10.4,14.8,28.6,8.6,148.6,82.2,25.3,East,7.5,0.2691790040376851,0.3408,18.976255352277157,27.99190484767128,50.645575921468264,30.29220722975286,13.419311803072219,14.789066,85.2,85.2,-0.0,Critical,0.34
