Feature,Mean_SHAP
Digital_Footprint_Score,3.8777418
Ecomm_Integration_Pct,1.260296
Formalization_Score,0.77606493
NPA_Proxy_Pct,0.45366797
Internet_Penetration_Pct,0.43624985
GST_Compliance_Pct,0.38988099
Business_Resilience_Score,0.31226778
GSDP_Per_Capita_Index,0.22089522
GST_Density,0.18614513
UPI_Adoption_Index,0.1535995
Urban_Pct,0.110274434
Credit_Momentum_Score,0.06670016
Literacy_Rate,0.051212527
Bank_Branches_Per_Lakh,0.05025745
Trading_Pct,0.03939818
Banking_Access_Score,0.038859487
CD_Ratio_2025,0.02921657
Women_MSME_Pct,0.02328072
